_time,RecipeName ,HolderTankStatus ,PasterTemper
01.12.2020 0:23,tvorog 9- 1,FALSE,73.083
01.12.2020 0:24,tvorog 9- 1,FALSE,72.989
01.12.2020 0:24,tvorog 9- 1,FALSE,72.996
01.12.2020 0:24,tvorog 9- 1,FALSE,72.996
01.12.2020 0:24,tvorog 9- 1,FALSE,73.025
01.12.2020 0:24,tvorog 9- 1,FALSE,73.025
01.12.2020 0:24,tvorog 9- 1,FALSE,73.025
01.12.2020 0:24,tvorog 9- 1,FALSE,72.852
01.12.2020 0:24,tvorog 9- 1,FALSE,72.794
01.12.2020 0:24,tvorog 9- 1,FALSE,72.743
01.12.2020 0:24,tvorog 9- 1,FALSE,72.779
01.12.2020 0:24,tvorog 9- 1,FALSE,72.996
01.12.2020 0:24,tvorog 9- 1,FALSE,73.025
01.12.2020 0:24,tvorog 9- 1,FALSE,72.996
01.12.2020 0:24,tvorog 9- 1,FALSE,72.996
01.12.2020 0:24,tvorog 9- 1,FALSE,72.96
01.12.2020 0:24,tvorog 9- 1,FALSE,72.931
01.12.2020 0:25,tvorog 9- 1,FALSE,73.163
01.12.2020 0:25,tvorog 9- 1,FALSE,73.22
01.12.2020 0:25,tvorog 9- 1,FALSE,73.264
01.12.2020 0:25,tvorog 9- 1,FALSE,73.271
01.12.2020 0:25,tvorog 9- 1,FALSE,73.336
01.12.2020 0:25,tvorog 9- 1,FALSE,73.315
01.12.2020 0:25,tvorog 9- 1,FALSE,72.996
01.12.2020 0:25,tvorog 9- 1,FALSE,72.931
01.12.2020 0:25,tvorog 9- 1,FALSE,72.888
01.12.2020 0:25,tvorog 9- 1,FALSE,72.859
01.12.2020 0:25,tvorog 9- 1,FALSE,72.794
01.12.2020 0:25,tvorog 9- 1,FALSE,72.75
01.12.2020 0:25,tvorog 9- 1,FALSE,72.888
01.12.2020 0:25,tvorog 9- 1,FALSE,72.917
01.12.2020 0:25,tvorog 9- 1,FALSE,73.119
01.12.2020 0:25,tvorog 9- 1,FALSE,73.134
01.12.2020 0:25,tvorog 9- 1,FALSE,73.163
01.12.2020 0:25,tvorog 9- 1,FALSE,73.163
01.12.2020 0:26,tvorog 9- 1,FALSE,73.329
01.12.2020 0:26,tvorog 9- 1,FALSE,73.184
01.12.2020 0:26,tvorog 9- 1,FALSE,73.105
01.12.2020 0:26,tvorog 9- 1,FALSE,73.032
01.12.2020 0:26,tvorog 9- 1,FALSE,73.011
01.12.2020 0:26,tvorog 9- 1,FALSE,72.996
01.12.2020 0:26,tvorog 9- 1,FALSE,72.917
01.12.2020 0:26,tvorog 9- 1,FALSE,72.953
01.12.2020 0:26,tvorog 9- 1,FALSE,72.996
01.12.2020 0:26,tvorog 9- 1,FALSE,73.025
01.12.2020 0:26,tvorog 9- 1,FALSE,72.96
01.12.2020 0:26,tvorog 9- 1,FALSE,72.931
01.12.2020 0:26,tvorog 9- 1,FALSE,72.888
01.12.2020 0:26,tvorog 9- 1,FALSE,72.953
01.12.2020 0:26,tvorog 9- 1,FALSE,72.96
01.12.2020 0:26,tvorog 9- 1,FALSE,72.996
01.12.2020 0:27,tvorog 9- 1,FALSE,73.134
01.12.2020 0:27,tvorog 9- 1,FALSE,73.134
01.12.2020 0:27,tvorog 9- 1,FALSE,73.134
01.12.2020 0:27,tvorog 9- 1,FALSE,73.098
01.12.2020 0:27,tvorog 9- 1,FALSE,73.025
01.12.2020 0:27,tvorog 9- 1,FALSE,72.989
01.12.2020 0:27,tvorog 9- 1,FALSE,72.772
01.12.2020 0:27,tvorog 9- 1,FALSE,72.75
01.12.2020 0:27,tvorog 9- 1,FALSE,72.743
01.12.2020 0:27,tvorog 9- 1,FALSE,72.743
01.12.2020 0:27,tvorog 9- 1,FALSE,72.75
01.12.2020 0:27,tvorog 9- 1,FALSE,72.779
01.12.2020 0:27,tvorog 9- 1,FALSE,72.808
01.12.2020 0:27,tvorog 9- 1,FALSE,72.852
01.12.2020 0:27,tvorog 9- 1,FALSE,73.061
01.12.2020 0:27,tvorog 9- 1,FALSE,73.061
01.12.2020 0:28,tvorog 9- 1,FALSE,73.242
01.12.2020 0:28,tvorog 9- 1,FALSE,73.206
01.12.2020 0:28,tvorog 9- 1,FALSE,73.206
01.12.2020 0:28,tvorog 9- 1,FALSE,73.17
01.12.2020 0:28,tvorog 9- 1,FALSE,73.17
01.12.2020 0:28,tvorog 9- 1,FALSE,73.134
01.12.2020 0:28,tvorog 9- 1,FALSE,73.069
01.12.2020 0:28,tvorog 9- 1,FALSE,73.069
01.12.2020 0:28,tvorog 9- 1,FALSE,72.852
01.12.2020 0:28,tvorog 9- 1,FALSE,72.823
01.12.2020 0:28,tvorog 9- 1,FALSE,72.823
01.12.2020 0:28,tvorog 9- 1,FALSE,72.823
01.12.2020 0:28,tvorog 9- 1,FALSE,72.888
01.12.2020 0:28,tvorog 9- 1,FALSE,72.917
01.12.2020 0:28,tvorog 9- 1,FALSE,73.163
01.12.2020 0:28,tvorog 9- 1,FALSE,73.134
01.12.2020 0:28,tvorog 9- 1,FALSE,73.134
